strategy,timeframe,sharpe,return,trades,win_rate,max_dd,p_value,validated,error
Decision Tree Rules,M15,-0.25978624232326764,-44.565131518438626,1083,41.735918744229,68.3557557161946,0.2952381395279742,False,
Decision Tree Rules,H1,0.6065710858433181,62.66690192230342,359,43.73259052924791,46.912494259092,0.2350838206616987,False,
Decision Tree Rules,H4,0.6833597555308655,17.850501124068924,102,46.07843137254902,36.3457079008937,0.3331054449150874,False,
Decision Tree Rules,D1,12.141239982522707,37.831952538144726,15,80.0,7.861418690041846,0.006278138648942418,False,
Gold-Silver Ratio,M15,-0.278247385062027,-69.92311148643357,1797,40.56761268781302,115.65683520206429,0.22884369870660082,False,
Gold-Silver Ratio,H1,-0.5183681561291243,-41.900250742784415,510,38.62745098039216,75.00299302890977,0.2308188778948883,False,
Gold-Silver Ratio,H4,-1.4549400845174623,-28.286424226568613,152,38.15789473684211,33.46296482987438,0.1309240420782081,False,
Gold-Silver Ratio,D1,-4.740410049780451,-14.83641052981082,24,25.0,25.60945393361034,0.08278024427403533,False,
K-Nearest Neighbors,M15,0.32539174083839495,255.36566666702635,4480,37.120535714285715,102.43540776761384,0.08509426254202843,False,
K-Nearest Neighbors,H1,0.1974052083263906,26.132768896124908,1211,37.24194880264244,78.13725858455153,0.33270408007001634,False,
K-Nearest Neighbors,H4,-0.4518574970077973,-13.945738258601542,365,34.52054794520548,28.519286972243624,0.29370867371069526,False,
K-Nearest Neighbors,D1,5.015493517822056,25.762876831817156,46,54.347826086956516,9.775362255613036,0.019802218861299868,True,
Parkinson Volatility,M15,-1.0990960194385802,-59.461254648037645,540,31.666666666666664,68.95877478530834,0.0542737759680477,False,
Parkinson Volatility,H1,-1.6239520804267862,-6.784763350933845,31,29.03225806451613,19.37838227469625,0.2897120522508988,False,
Parkinson Volatility,H4,1.8983064417116502,1.9124862654810022,8,37.5,2.732181183078574,0.38046829117289993,False,
Parkinson Volatility,D1,-77.02547498865859,-7.650581006700868,4,0.0,7.650581006700868,0.0017670630109359424,False,
Random Forest Ensemble,M15,0.0,0.0,0,0.0,0.0,1.0,False,'numpy.float64' object has no attribute 'rolling'
Random Forest Ensemble,H1,0.0,0.0,0,0.0,0.0,1.0,False,'numpy.float64' object has no attribute 'rolling'
